Geoid,Sec_neigh
170316104001,BACK OF THE YARDS
170316706001,ENGLEWOOD
170314604002,SOUTH CHICAGO
170310302003,EDGEWATER
170314603012,SOUTH CHICAGO
170316810001,ENGLEWOOD
170316604002,"MARQUETTE PARK,GAGE PARK"
170313008001,LITTLE VILLAGE
170316611004,"MARQUETTE PARK,GAGE PARK"
170311703002,DUNNING
170310514001,NORTH CENTER
170316707001,ENGLEWOOD
170316904002,"SOUTH SHORE, GRAND CROSSING"
170310624001,LAKE VIEW
170316904001,"SOUTH SHORE, GRAND CROSSING"
170318319001,LAKE VIEW
170310208024,WEST RIDGE
170310508001,NORTH CENTER
170313008002,LITTLE VILLAGE
170310509001,NORTH CENTER
170311704002,DUNNING
170316910003,"SOUTH SHORE, GRAND CROSSING"
170310511001,NORTH CENTER
170318432001,LOWER WEST SIDE
170316204001,"ARCHER HEIGHTS,WEST ELSDON"
170312608001,GARFIELD PARK
170316716002,ENGLEWOOD
170312307001,HUMBOLDT PARK
170316910004,"SOUTH SHORE, GRAND CROSSING"
170315204003,SOUTHEAST SIDE
170310106001,ROGERS PARK
170310716001,OLD TOWN
170318359003,BRONZEVILLE
170312506001,AUSTIN
170313105001,LOWER WEST SIDE
170314907002,"WASHINGTON HEIGHTS,ROSELAND"
170312506002,AUSTIN
170316910002,"SOUTH SHORE, GRAND CROSSING"
170314913004,"WASHINGTON HEIGHTS,ROSELAND"
170316910001,"SOUTH SHORE, GRAND CROSSING"
170310630001,LAKE VIEW
170312307002,HUMBOLDT PARK
170315302002,WEST PULLMAN
170310404022,LINCOLN SQUARE
170314913001,"WASHINGTON HEIGHTS,ROSELAND"
170314302003,"SOUTH SHORE, GRAND CROSSING"
170310208023,WEST RIDGE
170318348003,ENGLEWOOD
170314907001,"WASHINGTON HEIGHTS,ROSELAND"
170316904003,"SOUTH SHORE, GRAND CROSSING"
170314112001,HYDE PARK
170311403022,"NORTH PARK,ALBANY PARK"
170310208021,WEST RIDGE
170312516003,AUSTIN
170314910001,"WASHINGTON HEIGHTS,ROSELAND"
170312215002,LOGAN SQUARE
170314313021,"SOUTH SHORE, GRAND CROSSING"
170314603023,SOUTH CHICAGO
170311608005,"IRVING PARK,AVONDALE"
170310207022,WEST RIDGE
170311504014,PORTAGE PARK
170315703003,"ARCHER HEIGHTS,WEST ELSDON"
170314603013,SOUTH CHICAGO
170310208022,WEST RIDGE
170310409001,LINCOLN SQUARE
170318312003,"BELMONT CRAIGIN,HERMOSA"
170312515002,AUSTIN
170312307003,HUMBOLDT PARK
170310207023,WEST RIDGE
170316504002,WEST LAWN
170312516002,AUSTIN
170318343003,"AVALON PARK,CALUMET HEIGHTS"
170317401002,"MOUNT GREENWOOD,MORGAN PARK"
170318413003,LOWER WEST SIDE
170310401003,LINCOLN SQUARE
170314313023,"SOUTH SHORE, GRAND CROSSING"
170312001002,"BELMONT CRAIGIN,HERMOSA"
170317113001,AUBURN GRESHAM
170310633031,LAKE VIEW
170312925002,NORTH LAWNDALE
170311402003,"NORTH PARK,ALBANY PARK"
170310102013,ROGERS PARK
170315804004,"BRIGHTON PARK,MCKINLEY PARK"
170314402014,"CHATHAM,BURNSIDE"
170312212002,LOGAN SQUARE
170312503003,AUSTIN
170313018022,LITTLE VILLAGE
