Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,05,549000,035,3005,4920,9999,1,72301      ,3,7,1,,West Memphis,20,20,1836000,0,0,0,0,0,0,0,0,0
200001,05,555000,069,3023,6240,9999, ,71612      ,3,7,1,,White Hall,2,2,240000,0,0,0,0,0,0,0,0,0
200001,10,013000,003,0009,6162,9160, ,19809      ,3,5,5,,Bellefonte town,1,1,55000,0,0,0,0,0,0,0,0,0
200001,10,037000,001,0040,2190,9999, ,19934      ,3,5,5,,Camden town,1,1,108129,0,0,0,0,0,0,0,0,0
200001,10,065000,001,0075,2190,9999,1,19903      ,3,5,1,,Dover,10,10,423058,0,0,0,0,0,0,0,0,0
200001,10,073000,003,0085,6162,9160, ,19805      ,3,5,1,,Elsmere town,0,0,0,0,0,0,0,0,0,0,0,0
200001,10,105000,001,0125,2190,9999, ,19952      ,3,5,4,,Harrington,0,0,0,0,0,0,0,0,0,0,0,0
200001,10,121000,001,    ,2190,9999, ,19901      ,3,5,4,,Kent County Unincorporated Area,41,41,4603443,0,0,0,0,0,0,0,0,0
200001,10,173000,003,0200,6162,9160, ,19720      ,3,5,5,,New Castle,0,0,0,0,0,0,0,0,0,0,0,0
200001,10,177000,003,    ,6162,9160, ,19720      ,3,5,5,,New Castle County Unincorporated Area,162,162,15520063,0,0,0,0,0,0,1,21,881475
200001,10,181000,003,0195,6162,9160, ,19715      ,3,5,5,,Newark,5,5,421442,0,0,0,0,0,0,0,0,0
200001,10,185000,003,0205,6162,9160, ,19804      ,3,5,1,,Newport town,0,0,0,0,0,0,0,0,0,0,0,0
200001,10,193000,003,0215,6162,9160, ,19730      ,3,5,5,,Odessa town,0,0,0,0,0,0,0,0,0,0,0,0
200001,10,213000,001,0237,2190,9999, ,19977      ,3,5,1,,Smyrna town,9,9,362000,0,0,0,0,0,0,0,0,0
200001,10,225000,005,    ,9999,9999, ,19947      ,3,5,1,,Sussex County,94,94,11585118,0,0,0,0,0,0,0,0,0
200001,10,237000,003,0255,6162,9160, ,19801      ,3,5,5,,Wilmington,4,4,233554,0,0,0,0,0,0,1,5,80000
200001,10,245000,001,0265,2190,9999, ,19934      ,3,5,1,,Wyoming town,1,1,62325,0,0,0,0,0,0,0,0,0
200001,11,001000,001,    ,8872,8840,1,20001      ,3,5,4,,Washington,2,2,224558,0,0,0,0,0,0,0,0,0
200001,12,001000,001,0005,2900,9999, ,32616      ,3,5,5,,Alachua,5,5,393722,0,0,0,0,0,0,0,0,0
200001,12,003000,001,    ,2900,9999, ,32601      ,3,5,5,,Alachua County Unincorporated Area,57,57,5683625,1,2,86820,0,0,0,4,62,2684831
200001,12,007000,117,0015,5960,9999, ,32701      ,3,5,1,,Altamonte Springs,5,5,301466,0,0,0,0,0,0,0,0,0
200001,12,011000,081,0025,7510,9999, ,34216      ,3,5,1,,Anna Maria,2,2,405076,0,0,0,0,0,0,0,0,0
200001,12,013000,037,0030,9999,9999, ,32320      ,3,5,5,,Apalachicola,0,0,0,0,0,0,0,0,0,0,0,0
200001,12,015000,095,0035,5960,9999, ,327041229  ,3,5,1,,Apopka,53,53,3979000,0,0,0,0,0,0,0,0,0
200001,12,019000,001,0045,2900,9999, ,32618      ,3,5,5,,Archer,0,0,0,0,0,0,0,0,0,0,0,0
200001,12,023000,031,0055,3600,9999, ,32233      ,3,5,1,,Atlantic Beach,6,6,409273,3,6,437500,0,0,0,0,0,0
200001,12,025000,099,0060,8960,9999, ,334621193  ,3,5,1,,Atlantis,0,0,0,0,0,0,0,0,0,0,0,0
200001,12,027000,105,0065,3980,9999, ,33823      ,3,5,1,,Auburndale,11,11,872122,0,0,0,0,0,0,0,0,0
200001,12,028000,086,0066,4992,5000, ,33180      ,3,5,4,,Aventura,1,1,112279,0,0,0,0,0,0,0,0,0
200001,12,029000,055,0067,9999,9999, ,33825      ,3,5,1,,Avon Park,1,1,66500,0,0,0,0,0,0,0,0,0
200001,12,031000,003,    ,9999,9999, ,32063      ,3,5,1,,Baker County Unincorporated Area,4,4,362606,0,0,0,0,0,0,0,0,0
200001,12,033000,086,0080,4992,5000, ,33154      ,3,5,1,,Bal Harbour village,1,1,650000,0,0,0,0,0,0,0,0,0
200001,12,035000,031,0075,3600,9999, ,32234      ,3,5,1,,Baldwin town,0,0,0,0,0,0,0,0,0,0,0,0
200001,12,037000,105,0085,3980,9999, ,33831      ,3,5,1,,Bartow,7,7,488084,0,0,0,0,0,0,0,0,0
200001,12,041000,005,    ,6015,9999, ,32401      ,3,5,4,,Bay County Unincorporated Area,22,22,2470140,4,8,464774,0,0,0,0,0,0
200001,12,043000,086,0090,4992,5000, ,33154      ,3,5,1,,Bay Harbor Islands town,0,0,0,0,0,0,0,0,0,0,0,0
200001,12,045000,095,0093,5960,9999, ,32830      ,3,5,1,,Bay Lake,0,0,0,0,0,0,0,0,0,0,0,0
200001,12,049000,099,0130,8960,9999, ,33430      ,3,5,1,,Belle Glade,8,8,584000,0,0,0,0,0,0,0,0,0
200001,12,059000,103,0115,8280,9999, ,337561096  ,3,5,1,,Belleair town,1,1,285000,0,0,0,0,0,0,0,0,0
200001,12,061000,083,0145,5790,9999, ,32620      ,3,5,1,,Belleview,0,0,0,0,0,0,0,0,0,0,0,0
200001,12,065000,086,0165,4992,5000, ,33161      ,3,5,1,,Biscayne Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,12,067000,013,0175,9999,9999, ,32424      ,3,5,5,,Blountstown,0,0,0,0,0,0,0,0,0,0,0,0
