Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,17,225100,163,1605,7040,9999, ,62240      ,2,3,5,,East Carondelet village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,225400,085,1615,9999,9999, ,61025      ,2,3,1,,East Dubuque,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,226000,089,1620,1602,1600, ,60118      ,2,3,1,,East Dundee village,0,0,0,0,0,0,0,0,0,1,33,2005855
200001,17,228400,031,1635,1602,1600, ,60429      ,2,3,1,,East Hazel Crest village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,229000,161,1640,1960,9999, ,61244      ,2,3,1,,East Moline,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,229900,179,1650,6120,9999, ,61602      ,2,3,5,,East Peoria,7,7,703686,0,0,0,0,0,0,0,0,0
200001,17,230200,163,1660,7040,9999,1,62201      ,2,3,1,,East St. Louis,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,234100,119,1685,7040,9999, ,62025      ,2,3,1,,Edwardsville,10,10,1400350,0,0,0,0,0,0,0,0,0
200001,17,234700,049,1690,9999,9999, ,62401      ,2,3,1,,Effingham,1,1,185000,0,0,0,0,0,0,0,0,0
200001,17,237100,089,1700,1602,1600, ,60119      ,2,3,1,,Elburn village,7,7,1285000,0,0,0,0,0,0,0,0,0
200001,17,238600,089,1720,1602,1600,1,60120      ,2,3,1,,Elgin,7,7,874670,0,0,0,0,0,0,0,0,0
200001,17,240100,069,1728,9999,9999, ,62931      ,2,3,1,,Elizabethtown village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,240400,031,1735,1602,1600, ,60007      ,2,3,1,,Elk Grove Village village,8,8,1436528,0,0,0,0,0,0,0,0,0
200001,17,246100,043,1770,1602,1600, ,60126      ,2,3,1,,Elmhurst,2,2,315000,0,0,0,0,0,0,0,0,0
200001,17,247000,031,1780,1602,1600, ,60707      ,2,3,1,,Elmwood Park village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,247900,083,1790,7040,9999, ,62028      ,2,3,1,,Elsah village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,248800,197,1800,1602,1600, ,60421      ,2,3,1,,Elwood village,0,0,0,0,0,0,0,0,0,0,0,0
200001,17,255700,091,1835,1602,3740, ,60935      ,2,3,1,,Essex village,1,1,130000,0,0,0,0,0,0,0,0,0
200001,17,256000,203,1840,6120,9999, ,61602      ,2,3,5,,Eureka,0,0,0,0,0,0,0,0,0,0,0,0
