"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"80012","Aurora","CO","Denver","Arapahoe",280,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113000,117250,116925,109950,112100,114450,114900,112973,120000,120000,130000,132900,125000,134950,132500,151450,141936.5,149375,157450,155000,155000,160000,160000,160000,160000,155000,169950,170000,169900,175000,177000,189950,189950,187450,190000,195000,2e+05,209900,209900,209900,210000,208050,195000,205000,207000,198475,198500,195000,198000,207500,210000,216750,215000
"19147","Philadelphia","PA","Philadelphia","Philadelphia",281,289900,315000,315000,299800,289900,299000,299350,291950,294000,287450,275000,270000,275000,295000,289900,274900,269900,272400,259900,274900,269900,259900,259900,253900,254900,252900,275000,259900,269950,262500,247500,265000,249950,250000,282500,274750,285000,299000,299000,3e+05,294500,284450,289900,305000,304450,315000,316250,319200,342400,339900,335000,331950,299850,329949.5,349900,349950,339000,339900,339900,339000,329500,350000,319900,329900,349450,329000,325000,329450,330000,330000,339000,344950,339950,352500,349900,342400,362450,364900,365990,368440,381750,402499.5,378250,381500,399900,380700,389900,385000,4e+05,425000,425000,407900,425000,4e+05,389000,354999.5,362449.5,370000,370000
"91786","Upland","CA","Riverside","San Bernardino",282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,344950,324900,335000,327500,313500,292450,319500,344500,340000,320000,320000,319750,335450,335900,320000,330000,341000,345000,371950,367450,365000,365000,380400,381000,381500,362000,398500,367000,340000
"60643","Chicago","IL","Chicago","Cook",283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000,75000,82500,77650,74500,87450,80900,84900,80000,80000,81500,75000,82450
"47374","Richmond","IN","Richmond","Wayne",284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,55000,54900,54900,55200,59900,49900,44900,39995,38700,40776,44200,45900
"97501","Medford","OR","Medford","Jackson",284,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139950,158000,164900,161900,157700,156250,152500,157250,152500,139900,157500,159950,159000,152000,159900,169900,190500,185900,180000,180000,185450,185900,193750,186500,187000,192250
"92234","Cathedral City","CA","Riverside","Riverside",286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166250,159000,168250,169000,159450,159900,169000,163250,158000,159000,156500,166950,161250,167500,159900,167500,179000,175000,175000,172999,173999.5,169900,169900,167250,164985,159800,166000,167250,165756.5,163500,164000,169900,169900,168950,159900,165000,162500,156850,159950,164573,169900,167500,169000,168000,169000,168000,160000,164267.5,169000,163535,168480,169000,176950,169000,175000
"57106","Sioux Falls","SD","Sioux Falls","Minnehaha",287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169900,182500,169900,171900,171900,174900,182450,181000,196200,199700,194900,184900,184400,191200,194900,189900,176500,187400,176500,174950,174900,188900,184900,179900,186900,186900,192900,199900,189900,189900,189900
"33020","Hollywood","FL","Miami-Fort Lauderdale","Broward",288,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215500,215000,199999,195000,199900,210000,225000,225000,229000,225000,221300,218999.5,217999.5,216499.5,215000,220000,220388.5,219000,219950,226000,228250,232900,234900,245000,239900,235000,234999,235000
"12065","Clifton Park","NY","Albany","Saratoga",289,,169777,169900,169788.5,169638.5,168888.5,171500,170638.5,169777,169777,169777,168500,169777,169838.5,169777,174900,177777,174900,174900,175900,174900,167888,165000,165500,164700,166000,167000,179900,179350,179600,174900,169000,168800,169325,171900,168250,169500,167000,169000,164450,168800,169900,169444,166888,164900,165450,164250,164900,162500,162000,174900,169900,169900,172000,180950,183000,182000,175000,174900,174300,174900,179000,181000,178200,177900,179900,181900,172000,169000,167500,168200,174900,171250,168200,167500,172400,179900,179900,176500,176000,176500,175000,179900,180000,174900,184000,189500,219900,222450,192450,205950,202000,192400,204900,174950,181900,189900,189000,189900
