"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"Zip","60177","South Elgin","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,3.97830835279054,56.52,,,215702,0.633091511348527,8.52330185499167,0.0391929606586865,,0.163881748071979,0.0418300653594771,103
"Zip","60178","Sycamore","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,1.55607441440084,50,,,178731,0.476152998583346,1.9002497177847,0.0343253268878929,,0.152319731693684,0.0385321100917431,98
"Zip","60180","Union","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,8.74896437448219,,,,234650,0.349823805125047,19.6510157461043,0.0602514383123802,,0.0805084745762712,0.0526315789473684,120
"Zip","60181","Villa Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.95398056789937,73.08,,,230642,1.37441487374459,9.69319084376085,0.0333547229038944,,0.127293318233296,0.0355871886120996,128
"Zip","60184","Wayne","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,4.23062438803947,50,,,479386,1.34517771863102,6.87173679446765,0.0381967767102085,,0.109375,0.0714285714285714,112
"Zip","60185","West Chicago","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.17519017850418,84.62,,,228887,-0.109540975307457,1.60833510902763,0.0401945064595193,,0.104452416121545,0.0505050505050505,109.5
"Zip","60187","Wheaton","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,4.16359117270468,66.67,,,319091,0.549239320871724,3.68850328199129,0.0340185088266356,,0.0895370181521517,0.020501138952164,110
"Zip","60188","Carol Stream","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,1.15086239361301,86.67,,,242007,0.0599515426152103,3.51380714481248,0.0315899953307135,,0.114744854806879,0.0528255528255528,105.5
"Zip","60189","Wheaton","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.29042705430444,90.91,,,363795,0.0797788200987607,2.38920817548817,0.0283181462087165,,0.0626959247648903,0.0323529411764706,88
"Zip","60190","Winfield","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,4.20049710024855,75,,,290373,0.650615606455549,3.53565787268637,0.0344901213267075,,0.0832980972515856,0.0304568527918782,112
"Zip","60191","Wood Dale","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,0.194321006251412,80,,,227300,-0.149797268506113,1.72207006426436,0.027153541575011,,0.129843363561418,0.0476190476190476,143
"Zip","60192","Hoffman Estates","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,1.45213527152218,64.71,,,334105,0.150778472551124,4.65932193302029,0.0367788569461696,,0.0943190094683175,0.0231660231660232,136
"Zip","60193","Schaumburg","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,1.34292385328011,81.48,,,238032,0.221890065472306,0.0769395709042291,0.0229632990522284,,0.141770011273957,0.0318091451292247,96
"Zip","60194","Schaumburg","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,3.21910070045944,78.12,,,194908,0.20616224608883,5.91502149187873,0.034559894924785,,0.163034001743679,0.0267379679144385,94
"Zip","60195","Schaumburg","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,5.17059576711607,66.67,,,148603,1.69580838323353,8.74318539387509,0.0423679198939455,,0.25844930417495,0.0384615384615385,103
"Zip","60201","Evanston","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,0.590494840701966,89.19,,,422375,-0.332245512443869,1.56443495427647,0.0240378810298905,,0.12141511408834,0.0224137931034483,126.5
"Zip","60202","Evanston","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,0.504632070497853,76.19,,,272284,0.309456094074653,1.77585568883091,0.0276586211455685,,0.151904761904762,0.0313479623824451,131
"Zip","60203","Evanston","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.37553664231378,100,,,376511,0.146291769625041,-3.35761514610156,0.0124246037964362,,0.0781049935979514,0.0163934426229508,127
"Zip","60301","Oak Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,0.0640204865556978,50,,,170224,0.150616586651605,-3.51972975730301,0.0178470720932418,,0.296943231441048,0.0294117647058824,129
"Zip","60302","Oak Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,1.48150937711832,80,,,363326,-0.442810090370525,6.19872032830682,0.0402393442803433,,0.167130919220056,0.0238095238095238,125
"Zip","60304","Oak Park","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,0.541537998041726,86.36,,,371408,0.131294804014871,-0.254862940672527,0.0162301296687202,,0.104166666666667,0.0275862068965517,129
"Zip","60305","River Forest","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.3024779694208,75,,,538719,-0.155497648074906,5.95756732995167,0.0383001156447054,,0.122389791183295,0.023696682464455,120
"Zip","60401","Beecher","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,6.61444603449574,100,,,182898,0.459184233942283,6.98917812225797,0.0408752419381295,,0.158823529411765,0.0432098765432099,109
"Zip","60402","Berwyn","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,1.15914739775552,90,,,190808,0.381940425711009,4.46131863198638,0.0346159490168128,,0.175964941850666,0.0852490421455939,117.5
"Zip","60406","Blue Island","IL","Chicago, IL","""Chicago-Naperville-Elgin, IL-IN-WI""",,2.4945394290879,87.5,,,101068,0.0326619488296135,11.3194039056735,0.0453259191831243,,0.339327146171694,0.0854700854700855,120
