"RegionName","City","State","Metro","CountyName","SizeRank","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03"
"10462","New York","NY","New York","Bronx",21,130000,130000,135000,135000,135000,130000,132499.5,126000,134875,125000,126000,124900,120000,115000,118000,115000,115000,115000,112000,115000,115000,115000,118000,115000,115000,115000,110000,111000,99999.5,109000,105000,109000,108000,110000,120000,125000,125000,120000,119900,119900,115000,112000,110000,110000,110000,109500,110000,115000,115000,115000,115000,121975,115000,117399.5,120000,122000,127000,115000,115000,115000,115000,115000,119500,125000,125000,135000,135000,125000,125000,124000,123000,119500,120000,120000,120000,125000,124999.5,125000,127000,135000,130000,131995,130000,130000,130000,130000,134000,135000,140000,149000,142000,139000,143999,149000,147000,149000,147250,150000,152500
"60613","Chicago","IL","Chicago","Cook",22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,255000,250000,255500,259000,250000,249994.5,250000,274950,275000,275000,269900,269000,250000,254900,259450,269450,274900,279000,269700,259900,250000,249000,239000,239875,242000,249000,250000,264950,270000,249900,249000,238250,242710,239700,244900,246250,249700,240000,245000,266500,275000,274999,269000,266500,265000,279900,287450,269000,269900,274900,269900,270000,299000
"77036","Houston","TX","Houston","Harris",23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50000,50000,56000,58000,59900,64950,70000,66250,57000,59997.5,58997.5,64950,61000,60000,55000,60000,65000,66950,68000,64000
"10463","New York","NY","New York","Bronx",24,299000,299000,299000,282450,298250,299000,299000,299000,290000,285000,285000,285000,279000,269500,285000,279000,279000,271000,272000,272500,275000,275000,260000,250000,259000,269000,279000,280000,262450,259000,259000,259000,254500,249000,249000,239900,239000,239000,259000,250000,245000,249900,249900,249450,250000,259000,260000,259000,259000,250000,250000,259999,259999,259999.5,265000,265000,274900,269000,269000,265000,259000,250000,259000,249450,247000,249625,250000,250000,235250,232500,239000,239000,249950,239900,249825,257000,275000,282000,279000,280000,289450,298800,289000,280000,275000,274000,275000,282500,280000,289000,289000,299000,299000,299000,299000,309450,299000,299000,292500
"11230","New York","NY","New York","Kings",25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,439000,449000,474499.5,409000,409000,476500,479040,499000,575000,599000,599000,635000,525000,480080
"11209","New York","NY","New York","Kings",26,289000,279999,279999,279000,279000,279500,279900,277000,269000,257000,269000,265000,259000,249000,254500,269000,259000,259000,259000,249500,252500,259000,259000,259000,262450,265000,269000,259500,264900,270000,275000,269000,265000,260000,249900,257000,255000,268000,269000,274900,275000,269000,279000,275000,272500,265000,268000,269000,268500,259900,269000,263950,259450,260000,269000,269000,260000,269999,265000,260000,266500,269500,299000,276000,289000,280000,279500,319500,359000,359000,353000,349500,350000,349000,375999.5,399000,369000,388947.5,399000,394000,375000,369000,368125,389000,399000,399000,438944,429950,467000,497000,482000,525000,499999,499999,512499.5,499999,525000,479000,449000
"60625","Chicago","IL","Chicago","Cook",27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,169000,165000,165000,174900,199900,209000,225000,225000,239900,225000,217000,209500,199900,199000,189900,202450,219000,219000,209900,199250,199000,198900,199900,215000,210000,199999,191250,203950,219900,225000,219950,215000,211500,209900,207750,206450,199000,189000,183125,209950,225000,235000,224900,227000,229000,239900,239900,232450,219000,219500,230000,237000,234950
"28277","Charlotte","NC","Charlotte","Mecklenburg",28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,187000,174000,176750,179900,179000,175000,185000,185000,182700,181450,185000,183000,187950,187900,184500,189900,184000,180000,187900,189999,192000,190000,199450,225000,204000,224950,242500,225000,203000,189900,2e+05,204900,202450,2e+05,202450,2e+05,205000,224000,206000,209950,2e+05,185000,185000,188250,189000,215000,212000
"85032","Phoenix","AZ","Phoenix","Maricopa",29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99900,102500,109000,116900,119900,119900,114500,108500,112000,114750,113900,112700,119000,117750,111900,110500,107750,116950,115950,115000,107000,115000,120000,124900,136700,129900,140000,129900,121500,122750,122750,120000,124900,116000,132975,131925,129000,129000,129900,131850,130000,134950,144000,155950,149700,159900,149900,152975,149900,137500,145750,149499.5,150000
"07030","Hoboken","NJ","New York","Hudson",30,474999.5,470000,474900,469000,468888,459900,469000,459000,466725,465000,468900,459000,465000,459000,459000,449000,449000,449000,439000,449000,449000,449755,449000,461450,459450,459000,459000,475000,472450,485000,474000,479000,465000,475000,499000,496000,5e+05,525000,527000,525000,525000,529000,511250,499000,499987,499000,494500,489450,529000,529000,550000,550000,555000,545000,545000,545000,572500,560000,569995,579000,590000,599000,599000,629499.5,625000,649000,649000,649000,649000,680000,690000,7e+05,738800,742000,7e+05,699000,715000,729000,725000,717000,699000,699999,720000,707500,7e+05,717000,759900,785000,775000,799990,775000,760750,749999,789000,799000,776500,779500,799000,789500
