"Date","RegionID","RegionName","State","Metro","County","City","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2018-03-31,98327,"95632","CA","Sacramento","Sacramento","Galt",3938,359457,0.0041595896839941,0.0322757582893475,0.128186055270468,0.128809311956883,0.0305595741972824,"2005-11","2005-Q4",390739,-0.0800585557111013,"2005-03"
2018-03-31,72051,"32539","FL","Crestview-Fort Walton Beach-Destin","Okaloosa","Crestview",3939,154935,0.0063262774338956,0.0306943141676812,0.111330282468045,0.0635818803268349,0.00212617996870423,"2006-02","2006-Q1",177753,-0.128369141449089,"2005-03"
2018-03-31,90753,"75189","TX","Dallas-Fort Worth","Rockwall","Royse City",3940,219059,0.00176061168680319,0.00295310740154019,0.0703557119124401,0.0765928289629285,0.028711909733441,"2018-03","2018-Q1",219059,0,"2018-03"
2018-03-31,81652,"54403","WI","Wausau","Marathon","Wausau",3941,122085,0.00657943555368671,0.0127333056822895,0.0889459741510797,0.0479914014722935,0.00588017491420434,"2018-03","2018-Q1",122085,0,"2018-03"
2018-03-31,94435,"84070","UT","Salt Lake City","Salt Lake","Sandy",3942,307827,0.00668447886246129,0.0256763105547429,0.140273152589838,0.0921003005703676,0.0251130056352475,"2018-03","2018-Q1",307827,0,"2018-03"
2018-03-31,72308,"32927","FL","Melbourne","Brevard","Cocoa",3943,166583,0.00383859809817652,0.0211421285568919,0.0856556308654849,0.143682637377684,0.0199172469555364,"2006-02","2006-Q1",201734,-0.174244301902505,"2005-02"
2018-03-31,60756,"07701","NJ","New York","Monmouth","Middletown",3944,393389,0.00227518242224125,0.0183800211758554,0.0746395458742413,0.0415184163281674,0.00409517997602626,"2006-06","2006-Q2",414250,-0.0503584791792396,"2005-05"
2018-03-31,82277,"55427","MN","Minneapolis-St Paul","Hennepin","Golden Valley",3945,255288,0.00708503621416061,0.0262215343798364,0.0943462549136442,0.0647758803317549,0.0171200615255156,"2018-03","2018-Q1",255288,0,"2018-03"
2018-03-31,97702,"94402","CA","San Francisco","San Mateo","San Mateo",3946,2021792,0.0124029618086522,0.0435895741799082,0.176023178532519,0.12273336973175,0.0583747285450902,"2018-03","2018-Q1",2021792,0,"2018-03"
2018-03-31,84573,"60544","IL","Chicago","Will","Plainfield",3947,223999,0.00713540636296603,0.0211990936817583,0.0794040121240742,0.0597355967011353,-0.00154439640933501,"2006-08","2006-Q3",246504,-0.0912966929542725,"2005-01"
2018-03-31,76765,"43606","OH","Toledo","Lucas","Toledo",3948,112242,-0.00136127051915121,-0.00611867213303463,0.049157342755391,0.050498685325773,-0.000833641121007589,"2005-03","2005-Q1",128264,-0.124914239381276,"2001-06"
2018-03-31,69416,"27565","NC","Oxford","Granville","Oxford",3949,117248,0.000418092304541848,0.0207194344813177,0.172409655420675,0.0469855845503782,0.00942430142215467,"2018-03","2018-Q1",117248,0,"2018-03"
2018-03-31,69858,"28328","NC",,"Sampson","Clinton",3950,105664,-0.00385583513240881,-0.0137855722832529,0.028680464962324,0.0224478384072797,0.0109544178737215,"2017-12","2017-Q4",107141,-0.0137855722832529,"2017-10"
