"RegionType","RegionName","State","CBSA Title","SizeRankCity","SizeRankMetro","PctPriceCut","DaysOnMarket","BuyerSellerIndex","BuyerSellerIndexMetro"
"Zip","18088","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10172,67,7.14285714285714,113,2.94117647058824,6.34078212290503
"Zip","07825","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",10238,67,6.12244897959184,190,5,6.34078212290503
"Zip","07823","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",10290,67,11.6883116883117,118,6.47058823529412,6.34078212290503
"Zip","18034","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10410,67,13.2075471698113,97,5.88235294117647,6.34078212290503
"Zip","18072","PA","""Allentown-Bethlehem-Easton, PA-NJ""",10542,67,0,113,2.05882352941176,6.34078212290503
"Zip","08886","NJ","""Allentown-Bethlehem-Easton, PA-NJ""",10606,67,14.2857142857143,98,7.94117647058824,6.34078212290503
"Zip","79109","TX","""Amarillo, TX""",2464,180,17.7606177606178,84,3.63636363636364,8.37988826815642
"Zip","79106","TX","""Amarillo, TX""",5237,180,16.6666666666667,85.5,2.72727272727273,8.37988826815642
"Zip","79107","TX","""Amarillo, TX""",5968,180,14.2857142857143,101,5.45454545454545,8.37988826815642
"Zip","79118","TX","""Amarillo, TX""",6970,180,16.8776371308017,112,9.09090909090909,8.37988826815642
"Zip","79015","TX","""Amarillo, TX""",7279,180,11.8110236220472,93,0.909090909090909,8.37988826815642
"Zip","79119","TX","""Amarillo, TX""",7853,180,13.3116883116883,107,4.54545454545455,8.37988826815642
"Zip","79110","TX","""Amarillo, TX""",8121,180,13.75,95,1.81818181818182,8.37988826815642
"Zip","79108","TX","""Amarillo, TX""",9573,180,17.7777777777778,111.5,10,8.37988826815642
"Zip","79124","TX","""Amarillo, TX""",9910,180,14.4067796610169,116,7.27272727272727,8.37988826815642
"Zip","79102","TX","""Amarillo, TX""",9924,180,21.9512195121951,87,6.36363636363636,8.37988826815642
"Zip","79121","TX","""Amarillo, TX""",10525,180,25,101,8.18181818181818,8.37988826815642
"Zip","99504","AK","""Anchorage, AK""",3713,132,18.5185185185185,111,10,8.89664804469274
"Zip","99507","AK","""Anchorage, AK""",4315,132,16.2361623616236,85,1.53846153846154,8.89664804469274
"Zip","99508","AK","""Anchorage, AK""",5054,132,18.8311688311688,95,5.38461538461539,8.89664804469274
"Zip","99654","AK","""Anchorage, AK""",6005,132,15.9192825112108,118,9.23076923076923,8.89664804469274
"Zip","99645","AK","""Anchorage, AK""",6346,132,11.1969111969112,86.5,0.769230769230769,8.89664804469274
"Zip","99577","AK","""Anchorage, AK""",6522,132,18.8552188552189,94,6.15384615384615,8.89664804469274
"Zip","99502","AK","""Anchorage, AK""",7130,132,14.5945945945946,99,3.84615384615385,8.89664804469274
"Zip","99501","AK","""Anchorage, AK""",7616,132,12.8378378378378,134.5,7.69230769230769,8.89664804469274
