Survey,State,6-Digit,County,Place,MSA/,PMSA,Ccity,Zip,Region,Division,Source,,Place,,1-unit,,,2-units,,,3-4 units,,,5+ units
Date,Code,ID,Code,Code,Cmsa,Code,Code,Code,Code,,,,Name,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value,Bldgs,Units,Value
 
200001,23,056000,005,    ,9999,9999, ,04009      ,1,1,5,,Bridgton town,1,1,114312,0,0,0,0,0,0,0,0,0
200001,23,063000,021,    ,9999,9999, ,04414      ,1,1,1,,Brownville town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,064000,005,    ,9999,9999, ,04011      ,1,1,1,,Brunswick town,2,2,245000,0,0,0,0,0,0,0,0,0
200001,23,066000,009,    ,9999,9999, ,04416      ,1,1,4,,Bucksport town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,069000,031,    ,6400,9999, ,04038      ,1,1,1,,Buxton town,4,4,491442,0,0,0,0,0,0,0,0,0
200001,23,071000,029,0770,9999,9999, ,04619      ,1,1,1,,Calais,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,073000,013,    ,9999,9999, ,04843      ,1,1,5,,Camden town,1,1,128772,0,0,0,0,0,0,0,0,0
200001,23,076000,005,    ,6400,9999, ,04107      ,1,1,1,,Cape Elizabeth town,4,4,1359000,0,0,0,0,0,0,0,0,0
200001,23,078000,003,0840,9999,9999, ,04736      ,1,1,1,,Caribou,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,079000,019,    ,9999,9999, ,04419      ,1,1,1,,Carmel town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,080000,007,    ,9999,9999, ,04947      ,1,1,5,,Carrabassett Valley town,1,1,125000,0,0,0,0,0,0,1,5,416667
200001,23,084000,005,    ,6400,9999, ,04015      ,1,1,1,,Casco town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,092000,011,    ,9999,9999, ,043309704  ,1,1,1,,Chelsea town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,096000,011,    ,9999,9999, ,04358      ,1,1,5,,China town,0,0,0,0,0,0,0,0,0,0,0,0
200001,23,105000,019,    ,9999,9999, ,04427      ,1,1,1,,Corinth town,0,0,0,0,0,0,0,0,0,0,0,0
