c_id,zri_allhomes,zripersqft_allhomes,year,rv_id
54,1582,0.9925,2016,669
54,1582,0.886166667,2016,670
54,1574,0.817166667,2017,671
54,1574,0.966166667,2017,672
54,1574,0.930666667,2017,673
54,1574,1.276166667,2017,674
55,986,0.665,2010,675
55,1010,0.664333333,2011,676
55,983,0.660666667,2012,677
55,974,0.632,2013,678
55,927,0.619166667,2014,679
55,917,0.605333333,2015,680
55,883,0.580833333,2016,681
55,850,0.565666667,2017,682
56,2176,1.782,2010,683
56,2148,1.803166667,2011,684
56,2146,1.800833333,2012,685
56,2263,1.882833333,2013,686
56,2247,1.904833333,2014,687
56,2438,2.042833333,2015,688
56,2467,2.0735,2016,689
56,2449,2.060666667,2017,690
58,1482,0.951,2010,691
58,1404,0.899333333,2011,692
58,1129,0.712666667,2012,693
58,1108,0.703666667,2013,694
58,1253,0.7885,2014,695
58,1321,0.848,2015,696
58,1497,0.945333333,2016,697
58,1566,1.003166667,2017,698
59,756,0.478,2010,699
59,900,0.537333333,2011,700
59,1020,0.614,2012,701
59,1035,0.596,2013,702
59,1017,0.585666667,2014,703
59,1045,0.585,2015,704
59,1059,0.582333333,2016,705
59,1079,0.584,2017,706
60,1184,1.065,2010,707
60,1226,1.1,2011,708
60,1228,1.084166667,2012,709
60,1271,1.141,2013,710
60,1301,1.1565,2014,711
60,1334,1.177833333,2015,712
60,1354,1.192166667,2016,713
60,1355,1.1805,2017,714
63,1591,1.143,2010,715
63,1581,1.158666667,2011,716
63,1605,1.180166667,2012,717
63,1617,1.195833333,2013,718
63,1639,1.214,2014,719
63,1660,1.240166667,2015,720
63,1685,1.241833333,2016,721
63,1699,1.2515,2017,722
64,1395,0.8425,2013,723
64,1505,0.877166667,2014,724
64,1661,0.940833333,2015,725
64,1564,0.919166667,2016,726
64,1595,0.933333333,2017,727
65,1013,0.71,2010,728
65,1028,0.7255,2011,729
65,1034,0.724666667,2012,730
65,997,0.6955,2013,731
65,1084,0.7505,2014,732
65,1139,0.7845,2015,733
65,1209,0.822833333,2016,734
65,1227,0.827833333,2017,735
66,1293,0.855,2010,736
66,1391,0.927166667,2011,737
66,1439,0.976833333,2012,738
66,1532,1.032333333,2013,739
66,1656,1.112,2014,740
66,1852,1.246,2015,741
66,1955,1.304333333,2016,742
66,1969,1.321666667,2017,743
67,1409,0.895,2010,744
67,1416,0.898333333,2011,745
67,1483,0.903333333,2012,746
67,1469,0.891166667,2013,747
67,1521,0.926166667,2014,748
67,1602,1.000666667,2015,749
67,1745,1.078833333,2016,750
67,1797,1.118833333,2017,751
68,1010,0.651,2010,752
68,1010,0.624,2010,753
68,1010,0.691,2010,754
68,1010,0.695,2010,755
68,994,0.696,2011,756
68,994,0.682666667,2011,757
68,994,0.610166667,2011,758
68,994,0.660333333,2011,759
68,959,0.609333333,2012,760
68,959,0.705833333,2012,761
68,959,0.650333333,2012,762
68,959,0.664166667,2012,763
68,979,0.627166667,2013,764
68,979,0.6255,2013,765
68,979,0.663833333,2013,766
68,979,0.726666667,2013,767
68,972,0.673,2014,768
68,972,0.653666667,2014,769
68,972,0.735666667,2014,770
68,972,0.655833333,2014,771
68,1044,0.694,2015,772
68,1044,0.742333333,2015,773
68,1044,0.646833333,2015,774
68,1044,0.680833333,2015,775
68,1067,0.646833333,2016,776
68,1067,0.762833333,2016,777
68,1067,0.7065,2016,778
68,1067,0.675,2016,779
68,1053,0.747833333,2017,780
68,1053,0.6765,2017,781
68,1053,0.6935,2017,782
68,1053,0.714,2017,783
69,1393,0.864,2010,784
69,1393,0.877,2010,785
69,1393,0.663,2010,786
69,1393,0.781,2010,787
69,1393,0.654,2010,788
69,1393,0.831,2010,789
69,1389,0.657,2011,790
69,1389,0.9265,2011,791
69,1389,0.851666667,2011,792
69,1389,0.755666667,2011,793
69,1389,0.863166667,2011,794
69,1389,0.6705,2011,795
69,1342,0.8395,2012,796
69,1342,0.635,2012,797
69,1342,0.661833333,2012,798
69,1342,0.854833333,2012,799
69,1342,0.734833333,2012,800
69,1342,0.987166667,2012,801
69,1239,0.732,2013,802
69,1239,1.041666667,2013,803
69,1239,0.896,2013,804
69,1239,0.657166667,2013,805
69,1239,0.698666667,2013,806
69,1239,0.858,2013,807
69,1239,1.0125,2013,808
69,1239,0.779333333,2013,809
69,1239,0.637333333,2013,810
69,1358,0.716833333,2014,811
69,1358,0.768166667,2014,812
69,1358,0.669166667,2014,813
69,1358,1.029833333,2014,814
69,1358,0.655666667,2014,815
69,1358,0.938833333,2014,816
69,1358,1.113,2014,817
69,1358,0.905666667,2014,818
69,1358,0.8115,2014,819
69,1565,0.845666667,2015,820
69,1565,1.056833333,2015,821
69,1565,0.738166667,2015,822
69,1565,0.662,2015,823
69,1565,0.880833333,2015,824
69,1565,0.949833333,2015,825
69,1565,1.005833333,2015,826
69,1565,0.684833333,2015,827
69,1565,1.181333333,2015,828
69,1645,1.082833333,2016,829
69,1645,0.767833333,2016,830
69,1645,0.965166667,2016,831
69,1645,1.199833333,2016,832
69,1645,0.7055,2016,833
69,1645,1.0055,2016,834
69,1645,0.695833333,2016,835
69,1645,1.071833333,2016,836
69,1645,0.882166667,2016,837
69,1900,0.747833333,2017,838
69,1900,0.988833333,2017,839
69,1900,0.753,2017,840
69,1900,1.102666667,2017,841
69,1900,0.722,2017,842
69,1900,1.108,2017,843
69,1900,1.191166667,2017,844
69,1900,1.081166667,2017,845
69,1900,0.882166667,2017,846
71,1258,0.852,2010,847
71,1298,0.858333333,2011,848
71,1253,0.828833333,2012,849
71,1266,0.823,2013,850
71,1259,0.826166667,2014,851
71,1303,0.859,2015,852
71,1391,0.906833333,2016,853
71,1420,0.9235,2017,854
72,1270,0.785,2010,855
72,1270,0.532,2010,856
72,1270,0.592,2010,857
72,1359,0.85,2011,858
72,1359,0.516333333,2011,859
72,1359,0.586833333,2011,860
72,1286,0.845,2012,861
72,1286,0.605166667,2012,862
72,1286,0.497333333,2012,863
72,1254,0.883666667,2013,864
72,1254,0.812666667,2013,865
72,1254,0.640333333,2013,866
72,1254,0.500833333,2013,867
72,1270,0.5305,2014,868
72,1270,0.800166667,2014,869
72,1270,0.653166667,2014,870
72,1270,0.877,2014,871
72,1388,0.674333333,2015,872
72,1388,0.959,2015,873
72,1388,0.551,2015,874
